mask_type_id,tier,region_group,body_part,subregion,mask_role,owner_scope,scale,edit_allowed,protect_required,body_regions,required_for_images,required_for_video,required_for_audio_sync,soft_body_role,deformation_type,gravity_sensitive,collision_sensitive,multi_character_allowed,temporal_required,allowed_workflow_routes,protected_regions,required_evidence,qa_gates,promotion_rule,status,item_id,tracker_id,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
mf70_right_eye,tier_1_core_identity_anatomy,face_detail_subregions,eyes,right_eye_full_region,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,pupil; iris; eyelids; eyelashes; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0011,TRK-W70-0011,W70:face_detail_subregions:mf70_right_eye,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_pupils_iris_sclera,tier_1_core_identity_anatomy,face_detail_subregions,eyes,pupils_iris_sclera,edit_or_protect_facial_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyelids; eyelashes; catchlights; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0012,TRK-W70-0012,W70:face_detail_subregions:mf70_pupils_iris_sclera,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_eyelids,tier_1_core_identity_anatomy,face_detail_subregions,eyes,upper_lower_eyelids,edit_or_protect_facial_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,iris; sclera; eyelashes; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0013,TRK-W70-0013,W70:face_detail_subregions:mf70_eyelids,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_eyelashes,tier_1_core_identity_anatomy,face_detail_subregions,eyes,upper_lower_eyelashes,edit_or_protect_facial_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyelids; iris; skin; background,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0014,TRK-W70-0014,W70:face_detail_subregions:mf70_eyelashes,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_under_eye,tier_1_core_identity_anatomy,face_detail_subregions,eyes,under_eye_skin,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyes; eyelids; cheeks; nose,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0015,TRK-W70-0015,W70:face_detail_subregions:mf70_under_eye,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_eyebrows,tier_1_core_identity_anatomy,face_detail_subregions,brows,left_right_eyebrows,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,forehead; eyes; hairline; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0016,TRK-W70-0016,W70:face_detail_subregions:mf70_eyebrows,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_nose,tier_1_core_identity_anatomy,face_detail_subregions,nose,full_nose_bridge_tip_nostrils,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyes; cheeks; mouth; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0017,TRK-W70-0017,W70:face_detail_subregions:mf70_nose,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_mouth_lips,tier_1_core_identity_anatomy,face_detail_subregions,mouth,outer_mouth_lips,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,teeth; tongue; chin; cheeks; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0018,TRK-W70-0018,W70:face_detail_subregions:mf70_mouth_lips,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_teeth,tier_1_core_identity_anatomy,face_detail_subregions,mouth,teeth,edit_or_protect_facial_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,lips; tongue; inner_mouth; face_skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0019,TRK-W70-0019,W70:face_detail_subregions:mf70_teeth,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_tongue_inner_mouth,tier_1_core_identity_anatomy,face_detail_subregions,mouth,tongue_inner_mouth,edit_or_protect_facial_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,teeth; lips; chin; face_skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0020,TRK-W70-0020,W70:face_detail_subregions:mf70_tongue_inner_mouth,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_makeup_cosmetics,tier_1_core_identity_anatomy,face_detail_subregions,face,eyeliner_lipstick_blush_makeup,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,identity_anchor; eyes; lips; skin_tone,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0021,TRK-W70-0021,W70:face_detail_subregions:mf70_makeup_cosmetics,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_hair_full,tier_1_core_identity_anatomy,hair_scalp_skin_marks,hair,full_hair_volume,edit_or_protect_identity_surface_detail,single_character,major,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,face; ears; neck; background; clothing,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0022,TRK-W70-0022,W70:hair_scalp_skin_marks:mf70_hair_full,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,"Hair, Scalp, Skin Marks",54,70
mf70_hairline_edges,tier_1_core_identity_anatomy,hair_scalp_skin_marks,hair,hairline_edges,edit_or_protect_identity_surface_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,forehead; face_identity; background,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0023,TRK-W70-0023,W70:hair_scalp_skin_marks:mf70_hairline_edges,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,"Hair, Scalp, Skin Marks",54,70
mf70_hair_strands_flyaways,tier_1_core_identity_anatomy,hair_scalp_skin_marks,hair,strands_flyaways,edit_or_protect_identity_surface_detail,single_character,nano,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,face; background; clothing,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0024,TRK-W70-0024,W70:hair_scalp_skin_marks:mf70_hair_strands_flyaways,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,"Hair, Scalp, Skin Marks",54,70
