Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-023002,57,source_plan_section,RELEASE NOTES — Preserved,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: RELEASE NOTES — Preserved",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\11_RELEASES\Wave_07_Cumulative\RELEASE_NOTES.md,C:\Comfy_UI_Main\Plan\Plans\11_RELEASES\Wave_07_Cumulative\RELEASE_NOTES.md,Preserved,15,16,## Preserved All content from Waves 01–06 remains included in this cumulative package.,Plans(41).zip,md,543,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-023009,57,source_plan_section,reference weight profile — Balanced Identity,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: reference weight profile — Balanced Identity",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\11_RELEASES\Wave_08_Cumulative\reference_weight_profile.md,C:\Comfy_UI_Main\Plan\Plans\11_RELEASES\Wave_08_Cumulative\reference_weight_profile.md,Balanced Identity,1,11,# Balanced Identity Profile ID: `REF_WEIGHT_BALANCED_IDENTITY` | Lane | Weight | |---|---:| | face_identity | 0.7 | | body_reference | 0.5 | | outfit_reference | 0.5 | | style_reference | 0.35 | | environment_reference | 0.3 |,Plans(41).zip,md,240,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-023403,57,source_plan_section,mask region manifest example,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: mask region manifest example",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\12_EXAMPLES\multi_character_reference_layout\mask_region_manifest_example.json,C:\Comfy_UI_Main\Plan\Plans\12_EXAMPLES\multi_character_reference_layout\mask_region_manifest_example.json,FILE_START,1,19,"{ ""scene_id"": ""SCENE_W33_TWO_CHARACTER_DIALOGUE"", ""masks"": [ { ""mask_id"": ""MASK_C01_SOFT"", ""owner_id"": ""C01"", ""mask_type"": ""soft_bbox"", ""source"": ""generated_from_bounding_box"", ""feather"": 24 }, { ""mask_id"": ""MASK_C02_SOFT"", ""owner_id"": ""C02"", ""mask_type"": ""soft_bbox"", ""source"": ""generated_from_bounding_box"", ""feather"": 24 } ] }",Plans(41).zip,json,412,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-049564,57,wave_control_item,Items Validation Handoff Certification,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Create validation, release, handoff, and certification items for the complete autonomous system.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_SECOND_PASS_DEEPENING.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_SECOND_PASS_DEEPENING.md,Items Validation Handoff Certification,1,40,"Create validation, release, handoff, and certification items for the complete autonomous system.",Wave47_combined_second_pass_package,wave_control,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Explicit wave-control item added so the autonomous system has direct coverage for this wave.,,,,,
ITEM-049637,57,wave_control_subtask,Items Final Certification Controller Subtask 01,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 01 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 01,1,80,"Autonomously complete items final certification controller subtask 01 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
ITEM-049638,57,wave_control_subtask,Items Final Certification Controller Subtask 02,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 02 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 02,1,80,"Autonomously complete items final certification controller subtask 02 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
ITEM-049639,57,wave_control_subtask,Items Final Certification Controller Subtask 03,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 03 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 03,1,80,"Autonomously complete items final certification controller subtask 03 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
ITEM-049640,57,wave_control_subtask,Items Final Certification Controller Subtask 04,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 04 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 04,1,80,"Autonomously complete items final certification controller subtask 04 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
ITEM-049641,57,wave_control_subtask,Items Final Certification Controller Subtask 05,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 05 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 05,1,80,"Autonomously complete items final certification controller subtask 05 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
ITEM-049642,57,wave_control_subtask,Items Final Certification Controller Subtask 06,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously complete items final certification controller subtask 06 with source-cited evidence, validation, blocker handling, and no human work.",release_manifest_handoff_certification,control_manifest_validation_report,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,C:\Comfy_UI_Main\Plan\15_BLUEPRINT_PROJECTPLAN_COMBINATION\SECOND_PASS_WAVE38_47_DEEPENING\WAVE47_SECOND_PASS\WAVE47_OPERATOR_MANUAL_AND_CONTINUATION_POLICY.md,Items Final Certification Controller Subtask 06,1,80,"Autonomously complete items final certification controller subtask 06 with source-cited evidence, validation, blocker handling, and no human work.",Wave47_combined_second_pass_package,wave_control_subtask,,P0,HIGH,Ready for Autonomous Build,wave48_57_control_expansion,Additional explicit wave-control item for final certification coverage.,,,,,
