"relative_path","full_path","size_bytes","sha256","extension","last_write_time","purpose","update_policy"
"Plan\Items\RELEASE_NOTES.md","C:\Comfy_UI_Main\Plan\Items\RELEASE_NOTES.md","933","67e7cb9eef6beac4e667f8899bb7056ef8554eb0766ee99fb94be1a4d293f599",".md","2026-07-06T04:08:16","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Reports\items_summary_report.json","C:\Comfy_UI_Main\Plan\Items\Reports\items_summary_report.json","959","f595e2991f35b2601b065561dd318959c89febb64aba3e9a7de4fbdfbc5cd7f9",".json","2026-07-06T04:04:04","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Reports\items_validation_report.json","C:\Comfy_UI_Main\Plan\Items\Reports\items_validation_report.json","406","b8d81df626afdbfc461c6bc6a04bd0d8bac16412d20997b286a3ef2fe0eac497",".json","2026-07-06T06:04:26","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Reports\tracker_summary_report.json","C:\Comfy_UI_Main\Plan\Items\Reports\tracker_summary_report.json","961","ace2c07bd7568adce38a0f0ef8e4736a10079beca68645b82539108d6ae07e06",".json","2026-07-06T04:04:02","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Reports\tracker_validation_report.json","C:\Comfy_UI_Main\Plan\Items\Reports\tracker_validation_report.json","389","0213b31740b174b866211a050022a290f9a176a3439c479d4c866faa4a6206d3",".json","2026-07-06T04:08:10","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Schemas\item_row_schema.json","C:\Comfy_UI_Main\Plan\Items\Schemas\item_row_schema.json","1337","8adddb860a43746784bc14f3c264293087a7a19830ca7923dc24bc3ace6063ab",".json","2026-07-06T04:06:46","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Schemas\tracker_row_schema.json","C:\Comfy_UI_Main\Plan\Items\Schemas\tracker_row_schema.json","1562","25475d7f5b51b6bc498940d6cf8bbfc2e81ee943d3cdaca6889077c5155324e6",".json","2026-07-06T04:06:46","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Scripts\Run-Validate-ItemsPackage.ps1","C:\Comfy_UI_Main\Plan\Items\Scripts\Run-Validate-ItemsPackage.ps1","146","84b2f039b09dd935ef3580aa943d2633b65b21988cca9aaa37d73f1a95a16c96",".ps1","2026-07-06T04:04:04","PowerShell automation/helper script.","inspect_before_update"
"Plan\Items\Scripts\Run-Validate-TrackerPackage.ps1","C:\Comfy_UI_Main\Plan\Items\Scripts\Run-Validate-TrackerPackage.ps1","150","842a0502274bee559fbc919bf40262b2f2509f1e20ae752376f61d67ef40aba7",".ps1","2026-07-06T04:04:02","PowerShell automation/helper script.","inspect_before_update"
"Plan\Items\Scripts\validate_items_package.py","C:\Comfy_UI_Main\Plan\Items\Scripts\validate_items_package.py","3313","dd80af4abdec04d40506e909c67f7c94ff56f8e2abf894387393217aa3292e99",".py","2026-07-06T04:06:46","Python automation/helper script.","inspect_before_update"
"Plan\Items\Scripts\validate_tracker_package.py","C:\Comfy_UI_Main\Plan\Items\Scripts\validate_tracker_package.py","3329","1a9582b7aabcc9c73159ef3a5f3ac1bed90962046c83d9cee1cec7304a8d346a",".py","2026-07-06T04:06:46","Python automation/helper script.","inspect_before_update"
"Plan\Items\Source_Citations\items_source_citation_index.csv","C:\Comfy_UI_Main\Plan\Items\Source_Citations\items_source_citation_index.csv","38918543","8afef73d1a16387598ee2e826e647956dcf631b3d189ba1799787ed0ee2fd9c3",".csv","2026-07-06T04:04:04","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Source_Citations\tracker_source_citation_index.csv","C:\Comfy_UI_Main\Plan\Items\Source_Citations\tracker_source_citation_index.csv","38918543","8afef73d1a16387598ee2e826e647956dcf631b3d189ba1799787ed0ee2fd9c3",".csv","2026-07-06T04:04:02","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\wave48_52_master_autonomous_tracker.csv","C:\Comfy_UI_Main\Plan\Items\wave48_52_master_autonomous_tracker.csv","140344210","f835af1ff41459c005d8e4daf2bfbc8dcb76979cfa5885cda353a43b8104b897",".csv","2026-07-06T04:06:12","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\wave53_57_master_itemized_list.csv","C:\Comfy_UI_Main\Plan\Items\wave53_57_master_itemized_list.csv","97442976","5b86aa2f384c92ded5dd848d4d2b64fde70a53e2ef0234a1dba968b61b85436c",".csv","2026-07-06T04:06:14","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave48\wave48_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave48\wave48_tracker_rows.csv","57776259","1511f86866e2d4d2a8af71b9668f5c33b72202d8cfbe1c73968b94a9f36c7a8d",".csv","2026-07-06T04:06:16","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave48\WAVE48_TRACKER_SOURCE_CITATION_FRAMEWORK.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave48\WAVE48_TRACKER_SOURCE_CITATION_FRAMEWORK.md","530","a48e58996c9c5bab28c8c8f7018fae04436232c95713ff7e052da48ca6cc59a1",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave49\WAVE49_TRACKER_AUTONOMOUS_EXECUTION_CONTROLS.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave49\WAVE49_TRACKER_AUTONOMOUS_EXECUTION_CONTROLS.md","525","0fbb83b9608cff164f657cd48fe84538db927c222f671c8eb843984422ee8f30",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave49\wave49_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave49\wave49_tracker_rows.csv","230296","ddedb031bef922e5ddde56de0b1045e41d8d3bc497197261115313a7f61e87d5",".csv","2026-07-06T04:06:16","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave50\wave50_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave50\wave50_tracker_rows.csv","79703874","2d8d57841abac6b5dc00bd4d1f4da9adcaee4c2d28b872f4a0a9f142d31a0698",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave50\WAVE50_TRACKER_STRICT_QA_VISUAL_REVIEW.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave50\WAVE50_TRACKER_STRICT_QA_VISUAL_REVIEW.md","530","b90ba3ab936340535672afb3b2dd08d80fb615de6a19a217dd0a3268c3348ed1",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave51\wave51_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave51\wave51_tracker_rows.csv","2513825","040bd3697ab987e64df5d2b4e39ad79f02992f8bf94ba3d4146b47fbec904731",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave51\WAVE51_TRACKER_RUNTIME_COMFYUI_APP_EC2.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave51\WAVE51_TRACKER_RUNTIME_COMFYUI_APP_EC2.md","523","20764fa7fba723e631dcd4ec7206e3ce011950cc407f3f2df6145371f961febb",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave52\wave52_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave52\wave52_tracker_rows.csv","123192","63c0b92268f99c4d7012cb43ab01566e89fdff76e6cec476e02daa916ad6709d",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave52\WAVE52_TRACKER_VALIDATION_HANDOFF_RELEASE.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave52\WAVE52_TRACKER_VALIDATION_HANDOFF_RELEASE.md","527","eb9930c90f75dbebe4f4026106d74ed36c5a01207503336e5de5f2ffb713d2f8",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave53\wave53_item_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave53\wave53_item_rows.csv","4696852","7c3a5a24cf2fd12516d0ef914e7e00b9f2c260b55942088595fb5ad3f58dc3a3",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave53\WAVE53_ITEMS_SOURCE_CITED_TAXONOMY.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave53\WAVE53_ITEMS_SOURCE_CITED_TAXONOMY.md","512","cfbab070dbeea18fdc98d3dfd8273c0e32530147b7c819bb0cadb7cdb0870d13",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave54\wave54_item_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave54\wave54_item_rows.csv","6930131","7ec729ad721fce5d5e303189d19412e392d70f21535dc888765e960571a728c6",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave54\WAVE54_ITEMS_IMPLEMENTATION_REQUIREMENTS.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave54\WAVE54_ITEMS_IMPLEMENTATION_REQUIREMENTS.md","538","6495f9a06ac9c8a709879ddad9fdfb491c607d0b2ad04d68051ab9c706dc82ce",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave55\wave55_item_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave55\wave55_item_rows.csv","84241127","1e11e7bf53cce79f4a8b6340eea876bc9926ae1bae944e5eb95d41dd7bccb049",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave55\WAVE55_ITEMS_QA_TESTING_VISUAL_REVIEW.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave55\WAVE55_ITEMS_QA_TESTING_VISUAL_REVIEW.md","529","b8c9f29a0fc2cd33ee9591232822d940ff8c807b5580dbf0cdb4d89368a73a12",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave56\wave56_item_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave56\wave56_item_rows.csv","1485003","9ab4c5947e5930c4e82406fba574243971a63131f71cd7029355d4ea13f4a5e4",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave56\WAVE56_ITEMS_AUTONOMOUS_RUNTIME_NO_HUMAN.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave56\WAVE56_ITEMS_AUTONOMOUS_RUNTIME_NO_HUMAN.md","536","92cc30c32fd1a5ea6a7454b73692dd620eafc44be830dd01d13092dbbee80734",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Waves\Wave57\wave57_item_rows.csv","C:\Comfy_UI_Main\Plan\Items\Waves\Wave57\wave57_item_rows.csv","92531","9cf7822ec5f8ded5f5dd6896f0e8de365f45307c5c6bac4c239760b63db5bcab",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Waves\Wave57\WAVE57_ITEMS_VALIDATION_HANDOFF_CERTIFICATION.md","C:\Comfy_UI_Main\Plan\Items\Waves\Wave57\WAVE57_ITEMS_VALIDATION_HANDOFF_CERTIFICATION.md","530","7f7ab06edf20ca48de9f457f82561e0b657815d5ac50866ae2ec0ac4904a0033",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
